date,open,high,low,close,volume,market_cap
2021-03-01,0.40541,0.41458,0.40181,0.41209,7802657.5,7802657.5
2021-02-28,0.49601,0.527,0.31155,0.40587,2722854869.7,2722854869.7
2021-02-21,0.51555,0.53999,0.42,0.49601,2152321039.2,2152321039.2
2021-02-14,0.38535,0.60692,0.372,0.51591,3991700130.47,3991700130.47
2021-02-07,0.30704,0.4225,0.29236,0.3854,4508267718.03,4508267718.03
2021-01-31,0.27139,0.38367,0.2301,0.30704,4637843408.3,4637843408.3
2021-01-24,0.30368,0.31995,0.227,0.27138,2222045216.3,2222045216.3
2021-01-17,0.28449,0.3244,0.21065,0.3038,4273594419.1,4273594419.1
2021-01-10,0.13656,0.41194,0.1278,0.2845,9333706368.41,9333706368.41
2021-01-03,0.14538,0.15501,0.12256,0.13653,2031547371.3,2031547371.3
2020-12-27,0.17658,0.18032,0.11056,0.14527,3504725483.3,3504725483.3
2020-12-20,0.17615,0.20878,0.15928,0.17666,2538334627.9,2538334627.9
2020-12-13,0.17599,0.18,0.13921,0.1761,2405969057.3,2405969057.3
2020-12-06,0.19434,0.20664,0.15914,0.17593,2276507227.3,2276507227.3
2020-11-29,0.10428,0.23179,0.1013,0.19423,9477149793.2,9477149793.2
2020-11-22,0.0801,0.11488,0.07923,0.10426,1828153573.8,1828153573.8
2020-11-15,0.08151,0.08441,0.07799,0.08009,531284242.1,531284242.1
2020-11-08,0.0786,0.08625,0.07258,0.0815,650257635.0,650257635.0
2020-11-01,0.08301,0.08451,0.07424,0.07861,604589231.0,604589231.0
2020-10-25,0.0794,0.0879,0.07938,0.08304,916758516.8,916758516.8
2020-10-18,0.07713,0.084,0.07182,0.07942,780698890.2,780698890.2
2020-10-11,0.07291,0.07881,0.0701,0.07713,654394403.1,654394403.1
2020-10-04,0.07335,0.0763,0.06861,0.0729,609230168.8,609230168.8
2020-09-27,0.07689,0.07743,0.06671,0.07335,791904226.5,791904226.5
2020-09-20,0.08001,0.08228,0.07502,0.07693,702506597.7,702506597.7
