date,open,high,low,close,volume
2021-03-12,600.55,717.85,558.79,693.73,249753690.0
2021-03-05,690.11,721.11,539.49,597.95,235272714.0
2021-02-26,762.64,768.5,619.0,675.5,217862425.0
2021-02-19,818.0,821.0,762.01,781.3,82596163.0
2021-02-12,869.67,877.77,785.3306,816.12,116303534.0
2021-02-05,814.29,880.5,795.5601,852.23,102112291.0
2021-01-29,855.0,900.4,780.1,793.53,153007757.0
2021-01-22,837.8,859.5,828.62,846.64,91697493.0
2021-01-15,849.4,868.0,803.6222,826.16,208896134.0
2021-01-08,719.46,884.49,717.1895,880.02,252137795.0
2020-12-31,674.51,718.72,655.0,705.67,146960321.0
2020-12-24,666.24,668.5,614.23,661.77,165945448.0
2020-12-18,619.0,695.0,605.0,695.0,417756359.0
2020-12-11,604.9197,654.32,566.34,609.99,305424055.0
2020-12-04,602.21,607.8,541.21,599.04,221865368.0
2020-11-27,503.5,598.78,501.79,585.76,188810315.0
2020-11-20,408.93,508.6112,404.0868,489.61,261458208.0
2020-11-13,439.5,452.5,396.0301,408.5,122245822.0
2020-11-06,394.0,440.0,392.3,429.95,145636427.0
2020-10-30,411.63,430.5,379.11,388.04,141620023.0
2020-10-23,446.24,447.0,407.3801,420.63,174024764.0
2020-10-16,442.0,465.9,436.6,439.67,189748425.0
2020-10-09,423.35,439.0,406.05,434.0,206343526.0
2020-10-02,424.62,448.88,411.6,415.09,270378010.0
2020-09-25,453.13,455.68,351.3,407.34,447901291.0
2020-09-18,380.95,461.94,373.3,442.15,416051578.0
2020-09-11,356.0,398.99,329.88,372.72,340579527.0
2020-09-04,444.61,502.49,372.0201,418.32,500060538.0
2020-08-28,2126.275,2318.49,1927.52,2213.4,88736115.0
2020-08-21,1677.0,2095.49,1672.83,2049.98,90804281.0
2020-08-14,1448.0,1668.8,1365.0,1650.71,71049854.0
2020-08-07,1449.2,1527.41,1415.01,1452.71,37091084.0
2020-07-31,1435.0,1564.7,1413.0003,1430.76,61152261.0
2020-07-24,1519.01,1689.0,1366.5401,1417.0,91164900.0
2020-07-17,1659.0,1794.99,1431.0,1500.84,102402100.0
2020-07-10,1276.69,1548.92,1266.04,1544.65,93426100.0
2020-07-02,969.01,1228.0,948.5201,1208.66,56473104.0
2020-06-26,999.95,1012.0,937.15,959.74,41796700.0
2020-06-19,917.79,1019.2,908.5,1000.9,58049300.0
2020-06-12,919.0,1027.48,909.16,935.28,76773000.0
2020-06-05,858.0,908.66,854.1,885.66,53154200.0
2020-05-29,834.5,835.0,785.0,835.0,38707300.0
2020-05-22,827.78,834.72,796.0,816.88,50886000.0
2020-05-15,790.51,843.29,763.3,799.17,75692600.0
2020-05-08,701.0,824.0,698.0,819.42,75009800.0
2020-05-01,737.61,869.82,683.04,701.32,113123100.0
2020-04-24,732.7,765.57,673.79,725.15,75654800.0
2020-04-17,590.16,774.95,580.53,753.89,110415000.0
2020-04-09,511.2,575.18,497.96,573.0,59127600.0
2020-04-03,510.26,542.96,446.4,480.01,85543300.0
2020-03-27,433.6,560.0,410.5,514.36,92330500.0
2020-03-20,469.5,494.87,350.51,427.53,126751300.0
2020-03-13,605.39,668.0,502.0,546.62,87540000.0
2020-03-06,711.26,806.98,684.27,703.48,84543600.0
2020-02-28,839.0,863.5,611.52,667.99,95409600.0
2020-02-21,841.6,944.78,832.36,901.0,73754400.0
2020-02-14,800.0,819.99,735.0,800.03,90392200.0
2020-02-07,673.69,968.99,673.52,748.07,213540400.0
2020-01-31,541.99,653.0,539.28,650.57,87923100.0
2020-01-24,530.25,594.5,528.41,564.82,83177100.0
2020-01-17,493.5,547.41,492.0,510.5,108248400.0
2020-01-10,440.47,498.8,440.0,478.15,100559300.0
2020-01-03,428.79,454.0,402.08,443.01,50182700.0
2019-12-27,411.78,435.31,410.0,430.38,41953900.0
2019-12-20,362.55,413.0,362.5,405.59,73651800.0
2019-12-13,336.59,365.21,335.08,358.39,39084000.0
2019-12-06,329.4,338.86,327.25,335.89,29518200.0
2019-11-29,344.32,344.57,327.1,329.94,28308100.0
2019-11-22,352.92,361.2,330.0,333.04,41830900.0
2019-11-15,343.95,356.33,342.0,352.17,37040100.0
2019-11-08,314.8,341.5,309.26,337.14,44207800.0
2019-11-01,327.54,340.84,309.8,313.31,52647300.0
2019-10-25,258.33,330.0,250.18,328.13,74609200.0
2019-10-18,247.9,264.78,247.13,256.95,33841000.0
