date,open,high,low,close,volume,market_cap
2021-03-15,3.9256,4.0015,3.8594,3.9982,1864738.6,1864738.6
2021-03-14,3.8305,4.3863,3.6734,3.9256,183501137.77,183501137.77
2021-03-07,3.4745,4.0655,3.4486,3.831,157557430.98,157557430.98
2021-02-28,5.1008,5.3048,3.1862,3.4765,352944412.88,352944412.88
2021-02-21,5.0654,5.4545,4.1244,5.1008,329663194.75,329663194.75
2021-02-14,3.44,5.6028,3.3503,5.0667,454113058.41,454113058.41
2021-02-07,2.9298,3.59,2.893,3.44,286541646.97,286541646.97
2021-01-31,2.7135,3.0989,2.4633,2.9297,206092065.6,206092065.6
2021-01-24,2.7639,2.9272,2.4309,2.7135,167054877.83,167054877.83
2021-01-17,3.0555,3.0696,2.3859,2.764,304417610.14,304417610.14
2021-01-10,2.799,3.922,2.62,3.0552,451795623.51,451795623.51
2021-01-03,2.7164,2.8941,2.5023,2.7985,140002626.33,140002626.33
2020-12-27,3.1346,3.2784,1.9964,2.7167,231717714.47,231717714.47
2020-12-20,2.8505,3.3323,2.7985,3.1361,120081805.11,120081805.11
2020-12-13,2.9975,3.009,2.6476,2.8507,62530822.5,62530822.5
2020-12-06,3.0321,3.34,2.7977,2.9969,106351326.6,106351326.6
2020-11-29,3.0637,3.8802,2.7053,3.0311,252002493.31,252002493.31
2020-11-22,2.4961,3.3051,2.4476,3.0633,163658018.15,163658018.15
2020-11-15,2.5356,2.64,2.432,2.4961,46397529.01,46397529.01
2020-11-08,2.5186,2.6262,2.2259,2.5361,73805433.6,73805433.6
2020-11-01,2.7072,2.7541,2.4035,2.5185,57966166.8,57966166.8
2020-10-25,2.5455,2.738,2.5007,2.7074,53654243.27,53654243.27
2020-10-18,2.6574,2.6824,2.4911,2.5459,49243593.8,49243593.8
2020-10-11,2.5172,2.9711,2.4858,2.6576,101774983.88,101774983.88
2020-10-04,2.5897,2.6333,2.4132,2.5176,44740914.67,44740914.67
2020-09-27,2.6727,2.6895,2.3907,2.5897,55766381.6,55766381.6
2020-09-20,2.7249,2.7814,2.5771,2.6715,63906102.08,63906102.08
2020-09-13,2.9025,2.9393,2.6595,2.7249,90076756.65,90076756.65
2020-09-06,3.2615,3.5497,2.4909,2.9024,232386234.24,232386234.24
2020-08-30,3.322,3.4219,2.8555,3.2614,94939172.72,94939172.72
2020-08-23,3.88,3.9177,3.1652,3.3212,142185807.92,142185807.92
2020-08-16,3.0277,3.949,2.8718,3.88,164505390.59,164505390.59
2020-08-09,2.9447,3.25,2.7612,3.0272,93830308.43,93830308.43
2020-08-02,2.7117,3.4921,2.5435,2.9441,132283324.41,132283324.41
2020-07-26,2.5848,2.8016,2.5323,2.7121,57990397.88,57990397.88
2020-07-19,2.6173,2.6464,2.4301,2.5845,40754844.04,40754844.04
2020-07-12,2.4073,2.7269,2.4002,2.6171,59911210.71,59911210.71
2020-07-05,2.3665,2.4975,2.303,2.4072,44126205.87,44126205.87
2020-06-28,2.5137,2.605,2.1945,2.3668,43274305.27,43274305.27
2020-06-21,2.568,2.6067,2.41,2.514,36044189.65,36044189.65
2020-06-14,2.8101,2.8174,2.4251,2.5681,43552849.77,43552849.77
2020-06-07,2.6722,2.8939,2.575,2.8098,60587969.73,60587969.73
2020-05-31,2.4887,2.7806,2.4475,2.6731,43230642.13,43230642.13
2020-05-24,2.62,2.7486,2.4059,2.4879,62062384.56,62062384.56
2020-05-17,2.4435,2.6837,2.267,2.6205,67213798.93,67213798.93
2020-05-10,2.8384,2.8456,2.2779,2.4434,78496069.07,78496069.07
2020-05-03,2.7375,3.1187,2.6801,2.8387,87936548.96,87936548.96
2020-04-26,2.5972,2.8088,2.4363,2.7375,65566364.35,65566364.35
2020-04-19,2.4972,2.7639,2.3318,2.598,68054178.13,68054178.13
2020-04-12,2.3505,2.8253,2.35,2.498,79222552.71,79222552.71
2020-04-05,2.1145,2.4968,2.1083,2.3505,63860039.72,63860039.72
2020-03-29,2.1343,2.3758,2.063,2.1133,82826564.25,82826564.25
2020-03-22,2.0433,2.5198,1.7174,2.1344,173441143.12,173441143.12
2020-03-15,3.0443,3.1647,1.3586,2.0447,238380467.1,238380467.1
2020-03-08,3.507,3.86,2.9872,3.0435,60358047.38,60358047.38
2020-03-01,4.3775,4.401,3.2801,3.5075,114131245.38,114131245.38
2020-02-23,4.3781,4.65,3.5991,4.3778,97026376.41,97026376.41
2020-02-16,5.0068,5.4996,4.0357,4.3812,87886988.29,87886988.29
2020-02-09,4.2146,5.0463,4.0619,5.0111,57072129.24,57072129.24
2020-02-02,3.65,4.4,3.6451,4.2145,72943477.91,72943477.91
2020-01-26,3.6133,3.7471,3.3524,3.6486,46835506.26,46835506.26
2020-01-19,3.2086,4.08,3.0664,3.6115,107927321.53,107927321.53
2020-01-12,2.6845,3.216,2.65,3.2107,60136129.36,60136129.36
2020-01-05,2.6861,2.7759,2.4193,2.6865,30073510.17,30073510.17
2019-12-29,2.5353,2.7178,2.4422,2.6859,29752781.15,29752781.15
2019-12-22,2.5624,2.5659,2.1428,2.5344,51021059.74,51021059.74
2019-12-15,2.7413,2.7516,2.5099,2.5631,25102954.43,25102954.43
2019-12-08,2.772,2.7926,2.5586,2.7401,35840917.89,35840917.89
2019-12-01,2.4129,2.8559,2.3307,2.7737,63672694.23,63672694.23
2019-11-24,3.3968,3.4013,2.355,2.4115,83709232.93,83709232.93
2019-11-17,3.5824,3.5984,3.2811,3.3958,34463101.76,34463101.76
2019-11-10,3.2707,3.6886,3.2377,3.5828,54530096.32,54530096.32
2019-11-03,3.3288,3.5469,3.1552,3.2702,54866444.74,54866444.74
2019-10-27,2.9225,3.55,2.533,3.3281,95418671.03,95418671.03
2019-10-20,3.1017,3.2,2.7,2.9225,39941535.45,39941535.45
2019-10-13,2.9067,3.31,2.8934,3.1027,48479805.02,48479805.02
2019-10-06,2.7781,3.1213,2.7183,2.9058,41240231.85,41240231.85
2019-09-29,3.8122,3.8778,2.4212,2.7779,105934271.84,105934271.84
2019-09-22,4.0745,4.2341,3.712,3.8122,45571106.95,45571106.95
2019-09-15,3.7817,4.15,3.6096,4.0763,47716232.6,47716232.6
2019-09-08,3.2572,3.8388,3.1,3.78,35645126.76,35645126.76
2019-09-01,3.5507,3.6936,3.05,3.2562,20589742.9,20589742.9
2019-08-25,3.6901,3.8152,3.3474,3.551,18457088.6,18457088.6
2019-08-18,4.2025,4.2093,3.4673,3.6925,23492347.9,23492347.9
2019-08-11,4.2161,4.5771,3.7858,4.2028,26985353.03,26985353.03
2019-08-04,4.2773,4.4472,4.0347,4.214,22134621.1,22134621.1
2019-07-28,4.3291,4.7572,3.8877,4.2807,42874832.35,42874832.35
2019-07-21,4.1003,4.4752,3.3402,4.3288,68230314.57,68230314.57
2019-07-14,5.9278,6.0254,4.0469,4.1,65408203.01,65408203.01
2019-07-07,5.7949,6.15,5.5504,5.9278,44597057.84,44597057.84
2019-06-30,7.2705,7.4475,5.6329,5.7926,74427692.04,74427692.04
2019-06-23,6.9703,7.6497,6.6366,7.2712,43913524.48,43913524.48
2019-06-16,6.1389,7.188,6.0351,6.9703,42138701.88,42138701.88
2019-06-09,7.7229,7.731,5.9251,6.139,70517366.79,70517366.79
