date,open,high,low,close,volume,market_cap
2021-03-01,1418.67,1449.99,1409.91,1446.46,34770.76374,34770.76374
2021-02-28,1933.54,1936.29,1293.18,1419.18,10465746.3172,10465746.3172
2021-02-21,1800.03,2042.34,1655.67,1933.53,6415195.21066,6415195.21066
2021-02-14,1611.46,1871.72,1563.89,1800.42,6832312.13113,6832312.13113
2021-02-07,1312.45,1760.49,1269.99,1611.62,9848664.63364,9848664.63364
2021-01-31,1392.19,1475.0,1207.0,1312.55,11196117.0529,11196117.0529
2021-01-24,1232.5,1438.3,1042.31,1392.51,12291222.9309,12291222.9309
2021-01-17,1254.24,1298.0,915.0,1232.45,14328078.0548,14328078.0548
2021-01-10,978.33,1348.33,890.0,1254.25,16846289.4178,16846289.4178
2021-01-03,685.1,1011.07,681.04,978.28,9447316.9862,9447316.9862
2020-12-27,638.1,717.13,551.28,685.11,7473808.93661,7473808.93661
2020-12-20,590.81,676.25,575.6,638.18,6936775.7109,6936775.7109
2020-12-13,601.59,603.15,530.43,590.7,4909009.26296,4909009.26296
2020-12-06,576.32,635.7,560.0,601.54,8027609.54695,8027609.54695
2020-11-29,560.03,623.0,481.0,576.3,10429209.4715,10429209.4715
2020-11-22,448.07,580.88,445.45,560.03,9174279.77279,9174279.77279
2020-11-15,454.29,478.01,433.09,448.08,6539780.57886,6539780.57886
2020-11-08,396.68,468.28,370.23,454.3,8341893.09966,8341893.09966
2020-11-01,405.85,411.11,373.29,396.67,4755916.04477,4755916.04477
2020-10-25,378.12,420.73,365.27,405.86,5074779.73349,5074779.73349
2020-10-18,374.17,394.8,361.18,378.11,3956236.57263,3956236.57263
2020-10-11,352.34,378.4,332.18,374.16,3805329.06825,3805329.06825
2020-10-04,357.58,370.45,334.24,352.37,3981294.62941,3981294.62941
2020-09-27,371.04,376.8,313.29,357.49,6100378.29173,6100378.29173
2020-09-20,366.43,394.14,355.0,371.04,6092193.56225,6092193.56225
2020-09-13,352.85,390.43,323.0,366.42,7754669.03464,7754669.03464
2020-09-06,428.94,488.84,308.42,352.8,13682780.9619,13682780.9619
2020-08-30,390.72,429.89,370.0,428.94,5591687.53907,5591687.53907
2020-08-23,433.61,446.0,379.92,390.71,5203572.95772,5203572.95772
2020-08-16,390.14,444.71,365.85,433.62,6590597.87305,6590597.87305
2020-08-09,372.45,407.0,362.85,390.14,6576993.39017,6576993.39017
2020-08-02,311.02,415.85,305.86,372.42,9244824.67952,9244824.67952
2020-07-26,239.12,318.75,234.05,311.0,6076641.38733,6076641.38733
2020-07-19,242.76,245.33,230.02,239.11,3001686.69182,3001686.69182
2020-07-12,227.54,248.88,226.93,242.79,4289886.14639,4289886.14639
2020-07-05,224.89,232.71,221.26,227.56,3100841.13838,3100841.13838
2020-06-28,228.03,249.24,216.0,224.93,4445766.32605,4445766.32605
2020-06-21,231.74,237.3,218.27,228.04,3144051.5027,3144051.5027
2020-06-14,244.57,250.28,226.2,231.77,3056442.5613,3056442.5613
2020-06-07,231.56,253.8,225.0,244.56,4414708.13506,4414708.13506
2020-05-31,199.9,247.0,196.9,231.57,4530088.58138,4530088.58138
2020-05-24,207.02,217.07,191.71,199.9,5331065.62027,5331065.62027
2020-05-17,187.62,209.85,176.0,207.0,5967260.43774,5967260.43774
