date,open,high,low,close,volume,market_cap
2021-03-01,1.1238,1.1463,1.1174,1.1463,441462.8,441462.8
2021-02-28,1.4085,1.419,0.8857,1.1247,358578718.94,358578718.94
2021-02-21,1.1902,1.5999,0.9388,1.409,478712863.88,478712863.88
2021-02-14,0.5582,1.41,0.545,1.1903,675131638.45,675131638.45
2021-02-07,0.4076,0.62,0.3921,0.5587,317407058.92,317407058.92
2021-01-31,0.4561,0.4712,0.3773,0.4079,156804832.05,156804832.05
2021-01-24,0.4359,0.512,0.392,0.4563,210061520.27,210061520.27
2021-01-17,0.427,0.456,0.327,0.4357,237168597.78,237168597.78
2021-01-10,0.3099,0.4796,0.278,0.427,363755218.45,363755218.45
2021-01-03,0.2978,0.3199,0.277,0.3098,117263186.69,117263186.69
2020-12-27,0.3243,0.3325,0.2509,0.297,129249153.05,129249153.05
2020-12-20,0.3012,0.3456,0.2908,0.3243,93958122.09,93958122.09
2020-12-13,0.3387,0.339,0.2674,0.3014,88808969.84,88808969.84
2020-12-06,0.3438,0.3661,0.315,0.3383,108635430.5,108635430.5
2020-11-29,0.3191,0.426,0.275,0.3435,271028692.12,271028692.12
2020-11-22,0.2503,0.3406,0.2475,0.3196,139113260.3,139113260.3
2020-11-15,0.2658,0.2686,0.2447,0.2503,63302238.62,63302238.62
2020-11-08,0.2527,0.2788,0.2255,0.2662,76210377.84,76210377.84
2020-11-01,0.2786,0.2872,0.2451,0.2527,41461742.14,41461742.14
2020-10-25,0.2723,0.2933,0.2623,0.2782,39799339.22,39799339.22
2020-10-18,0.2821,0.2945,0.2603,0.2725,37016499.21,37016499.21
2020-10-11,0.2746,0.3033,0.243,0.2823,45776456.7,45776456.7
2020-10-04,0.26,0.2889,0.2519,0.275,62035986.3,62035986.3
2020-09-27,0.2626,0.2685,0.2276,0.2597,56061171.13,56061171.13
2020-09-20,0.281,0.293,0.25,0.2627,44219693.61,44219693.61
2020-09-13,0.2863,0.3038,0.2593,0.281,54872964.75,54872964.75
2020-09-06,0.3649,0.3774,0.2482,0.2863,87410739.38,87410739.38
2020-08-30,0.3851,0.3999,0.3213,0.365,64226257.33,64226257.33
2020-08-23,0.4239,0.4413,0.3571,0.3852,95605788.4,95605788.4
2020-08-16,0.3479,0.4496,0.3413,0.4232,142937768.59,142937768.59
2020-08-09,0.288,0.3481,0.2847,0.348,66969914.7,66969914.7
2020-08-02,0.2689,0.3231,0.2518,0.2884,99535379.63,99535379.63
2020-07-26,0.2482,0.2859,0.246,0.2689,74328318.3,74328318.3
2020-07-19,0.2516,0.263,0.2285,0.2478,43736769.3,43736769.3
2020-07-12,0.2355,0.2678,0.2346,0.2511,66587135.69,66587135.69
2020-07-05,0.2088,0.2419,0.2035,0.2353,52237469.33,52237469.33
2020-06-28,0.2173,0.2345,0.1937,0.2088,29534778.65,29534778.65
2020-06-21,0.2215,0.2287,0.2031,0.2177,31789064.73,31789064.73
2020-06-14,0.2412,0.2525,0.2157,0.2215,46845962.9,46845962.9
2020-06-07,0.2197,0.2585,0.217,0.2412,69748774.79,69748774.79
2020-05-31,0.1897,0.2412,0.1885,0.2197,66171434.22,66171434.22
